,product_id,product_name,product_type,product_colors,product_price,product_composition_shell,product_composition_pocket,scrapy_datetime
0,1024256001,Slim Jeans,men_jeans_slim,Black,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
0,1024256001,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
0,1024256001,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
0,1024256001,Slim Jeans,men_jeans_slim,Denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
0,1024256001,Slim Jeans,men_jeans_slim,Dark blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
0,1024256001,Slim Jeans,men_jeans_slim,Dark denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
0,1024256001,Slim Jeans,men_jeans_slim,Dark gray,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
0,1024256001,Slim Jeans,men_jeans_slim,White,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
1,0985159001,Skinny Jeans,men_jeans_skinny,Black,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
1,0985159001,Skinny Jeans,men_jeans_skinny,Denim blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
1,0985159001,Skinny Jeans,men_jeans_skinny,Dark gray,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
1,0985159001,Skinny Jeans,men_jeans_skinny,Light denim blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
1,0985159001,Skinny Jeans,men_jeans_skinny,Dark blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
1,0985159001,Skinny Jeans,men_jeans_skinny,Dark denim blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
1,0985159001,Skinny Jeans,men_jeans_skinny,Denim blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
1,0985159001,Skinny Jeans,men_jeans_skinny,Dark gray,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Light denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Black/washed,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Black washed out,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,White,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Black/washed,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Dark denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Black/trashed,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Dark blue/Trashed,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Dark blue/washed out,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Black,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Denim gray,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Light denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
